,alias,username,bio,num_of_posts,followers,following,bio_url,isprivate,scraped
0,조효진 & 갱상도 화장쟁이,hyojinc_,"❤️문의 : chohyojin94517@naver.com
Let's be diligent!!!!
👇🏻피드에 입은옷들은 전부 횰릭🤘🏻",1684,252174,616,m.hyolic.com,False,2019-07-13 07:10:48
1,순이,h_ue_,,141,160047,107,www.youtube.com/channel/UC24ZdEFJvYvQwqnWJodWzng,False,2019-07-13 07:10:49
2,김근명,guikkm,#소근커플,534,203816,159,youtube.com/c/SKCouple,False,2019-07-13 07:10:51
3,sky in☁️,haneulin,,174,332,1456,,False,2019-07-13 07:10:53
4,선여정,seon_y_j,,1103,382058,294,,False,2019-07-13 07:10:55
5,"Your Korean Friend, Angoo",__angoo,"인생도 열심히, 덕질도 열심히",32,12950,6,youtube.com/안구정화TVYourKoreanFriend,False,2019-07-13 07:10:57
6,온도 ON DO ℃,on_do__,"🎗
👇🏼온도 디자인을 오브젝트에서 만나보세요💛
@ondo_design_",621,237406,243,m.insideobject.com,False,2019-07-13 07:10:59
7,소진소진,sojin282,문의사항은 유튜브 정보에 메일주소로 보내주세요😊,101,69223,10,,False,2019-07-13 07:11:01
8,홍영기,kisy0729,"✧｡♡𝐦𝐢𝐥𝐤 𝐭𝐨𝐮𝐜𝐡✧｡♡
@milktouch_official
⠀⠀⠀
𝐟𝐥𝐨𝐰 𝐦𝐚𝐫𝐤𝐞𝐭
▫️ 7/15-17 하트목걸이 하트반지 💕",3605,740102,670,bit.ly/2K4SFPf,False,2019-07-13 07:11:02
9,Haeun Kim,sophie.h.k,"Ｔｒａｖｅｌ ✈
✱ Ｃｕｒｒｅｎｔｌｙ ｡ 🇮🇩
📧 ☜ Ｃｏｌｌａｂｏ
☆ Y O U T U B E↓",324,180580,148,youtu.be/nNrv5LNKV8Y,False,2019-07-13 07:11:05
10,혜서니,hyesunee,"CJ E&M DIAtv 혜서니:) <부계정 x>
🌻 혜바라기집합소🌻",342,147460,120,goo.gl/Xk68oD,False,2019-07-13 07:11:07
11,신소현 [ 쏘야쭝아 ],endears_o,"2011년 7월 5일 💍
👫 #쏘야쭝아
⠀⠀⠀
➖ 구독 🐷",270,179715,54,goo.gl/5dpoF2,False,2019-07-13 07:11:09
12,Serim Hong,serim.hong.50,"샒의삶 serim's life
(DM 확인 잘 하지 않아요😭)
.
👇 월간다꾸 6월호 부록 구매하러가기",999,88279,510,zeezeeplanet.com,False,2019-07-13 07:11:11
13,박석준,psj9434,23,7,47116,47,m.facebook.com/yeoseok1,False,2019-07-13 07:11:13
14,밤비걸 Bambigirl,hi_bambigirl,,2001,85135,1,youtu.be/BDbnSqYdl4Y,False,2019-07-13 07:11:15
